,Status,ReportName,ks_stat,p_value,sample_a,sample_b
0,Drift,report_233,0.8,0.013175230566534912,4,20
1,Drift,report_157,0.6363636363636364,0.006819221967963387,11,14
2,Stable,report_139,0.46830985915492956,0.27724135093998115,4,71
3,Drift,report_231,0.33095238095238094,0.006701254383041129,30,140
4,Stable,report_345,0.31261261261261264,0.1422109090112395,15,74
5,Stable,report_270,0.2857142857142857,0.649731450021341,7,42
6,Drift,report_150,0.2608210620258813,0.018354920918291755,54,83
7,Stable,report_155,0.2523809523809524,0.6003856480821496,10,42
8,Drift,report_161,0.2482758620689655,0.020115012206228463,60,87
9,Drift,report_334,0.24761904761904763,0.0037966217948508106,60,280
10,Drift,report_160,0.23490056923190655,0.0011800851486586917,81,334
11,Stable,report_158,0.2184873949579832,0.8847252505789088,7,34
12,Stable,report_269,0.213986013986014,0.1199359536443548,39,110
13,Stable,report_203,0.2125506072874494,0.6963775616989202,13,38
14,Drift,report_360,0.21140980915247282,0.00003380604972203121,165,443
15,Drift,report_332,0.19388004149124413,3.863530650634344e-7,243,1214
16,Stable,report_234,0.17543859649122806,0.6329823307274958,19,105
17,Stable,report_213,0.1465550057099353,0.16263817374480977,71,259
18,Stable,report_136,0.1417187334533517,0.10574182298677542,76,994
19,Stable,report_204,0.13333333333333333,0.9993286368997947,7,30
20,Stable,report_192,0.1312797946461313,0.7547612311177059,27,202
21,Stable,report_129,0.12358084301187525,0.2448983407171925,79,388
22,Stable,report_342,0.12213039485766758,0.18141336935870306,99,363
23,Stable,report_202,0.1217971851317214,0.3420898943941445,68,326
24,Stable,report_292,0.09547993905535805,0.5046630727607258,88,358
25,Stable,report_339,0.08102497366301047,0.6643954263022822,99,326
26,Stable,report_189,0.07666041275797374,0.5475825645952498,123,650
27,Stable,report_149,0.07308738744574723,0.42513899613001543,172,718
28,Stable,report_118,0.06731141199226305,0.9814308807314555,55,188
29,Stable,report_335,0.06549497499635869,0.7458307080579731,129,479
30,Stable,report_212,0.06434355118565645,0.6711705764754047,156,532
31,Stable,report_323,0.06270848725009515,0.7666855008448196,126,709
32,Drift,report_337,0.051807443947411366,0.00752514173433534,1289,5177
33,Stable,report_135,0.051073049739554774,0.061800609621159804,791,3942
34,Stable,report_318,0.0364741641337386,1,7,47
35,Stable,report_190,0.03537180008126778,0.9998936762200947,92,535
36,Stable,report_188,0.026461368246358103,0.999999992515174,87,374
37,Stable,report_333,0.017898193760262728,1,58,210
38,Stable,report_317,0.01675977653631285,1,48,179
39,Stable,report_341,0.011904761904761904,1,56,168
40,Stable,report_319,0.010526315789473684,1,71,285
41,Stable,report_355,0.005699853789556985,1,422,1611
42,Stable,report_19,0,1,20,75
43,Stable,report_214,0,1,12,35
44,Stable,report_223,0,1,13,31
